,ip,port,place
0,223.94.85.131,9091,海南省
1,139.155.48.55,1089,北京市海淀区
2,101.230.4.168,80,上海市
3,218.201.71.75,8060,重庆市北碚区
4,218.201.71.75,8060,重庆市北碚区
5,218.201.71.75,8060,重庆市北碚区
6,218.7.171.91,3128,黑龙江省绥化市
7,218.7.171.91,3128,黑龙江省绥化市
8,218.7.171.91,3128,黑龙江省绥化市
9,218.7.171.91,3128,黑龙江省绥化市
10,218.7.171.91,3128,黑龙江省绥化市
11,218.7.171.91,3128,黑龙江省绥化市
12,218.7.171.91,3128,黑龙江省绥化市
13,218.7.171.91,3128,黑龙江省绥化市
14,218.7.171.91,3128,黑龙江省绥化市
15,218.7.171.91,3128,黑龙江省绥化市
16,218.7.171.91,3128,黑龙江省绥化市
17,218.7.171.91,3128,黑龙江省绥化市
18,218.7.171.91,3128,黑龙江省绥化市
19,218.7.171.91,3128,黑龙江省绥化市
20,218.7.171.91,3128,黑龙江省绥化市
21,121.227.144.241,7890,江苏省苏州市
22,58.220.95.55,9400,江苏省扬州市
23,58.220.95.86,9401,江苏省扬州市
24,58.220.95.78,9401,江苏省扬州市
25,58.220.95.114,10053,江苏省扬州市
26,58.220.95.79,10000,江苏省扬州市
27,58.220.95.107,80,江苏省扬州市
28,103.158.125.246,80,福建省厦门市
29,222.79.63.199,9999,福建省福州市
30,222.79.63.199,9999,福建省福州市
31,222.79.63.199,9999,福建省福州市
32,103.158.125.246,80,福建省厦门市
33,223.96.90.216,8085,山东省
34,123.161.21.72,9797,河南省安阳市
35,123.161.21.72,9797,河南省安阳市
36,211.142.96.250,9091,河南省焦作市
37,123.161.21.72,9797,河南省安阳市
38,123.161.21.72,9797,河南省安阳市
39,211.142.96.250,9091,河南省焦作市
40,111.23.16.250,3128,湖南省邵阳市
41,218.202.7.125,80,云南省昆明市
42,183.224.41.199,80,云南省昆明市
43,218.202.7.125,80,云南省昆明市
44,183.224.41.199,80,云南省昆明市
45,218.202.7.125,80,云南省昆明市
46,183.224.41.199,80,云南省昆明市
47,218.202.7.125,80,云南省昆明市
48,183.224.41.199,80,云南省昆明市
49,218.202.7.125,80,云南省昆明市
50,183.224.41.199,80,云南省昆明市
51,218.202.7.125,80,云南省昆明市
52,183.224.41.199,80,云南省昆明市
53,218.202.7.125,80,云南省昆明市
54,183.224.41.199,80,云南省昆明市
55,218.202.7.125,80,云南省昆明市
56,183.224.41.199,80,云南省昆明市
57,183.224.41.199,80,云南省昆明市
58,218.202.7.125,80,云南省昆明市
59,183.224.41.199,80,云南省昆明市
60,218.7.171.91,3128,黑龙江省绥化市
61,123.57.246.163,8118,广东省广州市
62,113.252.54.73,80,香港
63,218.202.7.125,80,云南省昆明市
64,183.224.41.199,80,云南省昆明市
65,121.227.144.241,7890,江苏省苏州市
66,103.158.125.246,80,福建省厦门市
67,183.224.41.199,80,云南省昆明市
68,58.220.95.55,9400,江苏省扬州市
69,218.7.171.91,3128,黑龙江省绥化市
70,202.200.170.237,80,陕西省西安市
71,218.202.7.125,80,云南省昆明市
72,183.224.41.199,80,云南省昆明市
73,222.79.63.199,9999,福建省福州市
74,58.220.95.86,9401,江苏省扬州市
75,218.7.171.91,3128,黑龙江省绥化市
76,183.224.41.199,80,云南省昆明市
77,218.7.171.91,3128,黑龙江省绥化市
78,218.202.7.125,80,云南省昆明市
79,183.224.41.199,80,云南省昆明市
80,175.6.97.188,9128,湖南省
81,58.220.95.78,9401,江苏省扬州市
82,218.7.171.91,3128,黑龙江省绥化市
83,218.202.7.125,80,云南省昆明市
84,183.224.41.199,80,云南省昆明市
85,218.7.171.91,3128,黑龙江省绥化市
86,218.201.71.75,8060,重庆市北碚区
87,39.108.101.55,1080,香港
88,211.142.96.250,9091,河南省焦作市
89,58.220.95.114,10053,江苏省扬州市
90,58.220.95.79,10000,江苏省扬州市
91,223.96.90.216,8085,山东省
92,218.7.171.91,3128,黑龙江省绥化市
93,222.79.63.199,9999,福建省福州市
94,218.202.7.125,80,云南省昆明市
95,183.224.41.199,80,云南省昆明市
96,218.7.171.91,3128,黑龙江省绥化市
97,218.202.7.125,80,云南省昆明市
98,103.158.125.246,80,福建省厦门市
99,58.220.95.107,80,江苏省扬州市
100,101.230.4.168,80,上海市
101,139.155.48.55,1089,北京市海淀区
102,183.224.41.199,80,云南省昆明市
103,218.7.171.91,3128,黑龙江省绥化市
104,183.224.41.199,80,云南省昆明市
105,211.142.96.250,9091,河南省焦作市
106,218.7.171.91,3128,黑龙江省绥化市
107,218.7.171.91,3128,黑龙江省绥化市
108,182.90.224.115,3128,广西梧州市
109,218.7.171.91,3128,黑龙江省绥化市
110,113.252.54.73,80,香港
111,183.224.41.199,80,云南省昆明市
112,211.142.96.250,9091,河南省焦作市
113,121.227.144.241,7890,江苏省苏州市
114,218.7.171.91,3128,黑龙江省绥化市
115,103.158.125.246,80,福建省厦门市
116,218.202.7.125,80,云南省昆明市
117,183.224.41.199,80,云南省昆明市
118,58.220.95.55,9400,江苏省扬州市
119,218.7.171.91,3128,黑龙江省绥化市
120,218.202.7.125,80,云南省昆明市
121,222.79.63.199,9999,福建省福州市
122,58.220.95.86,9401,江苏省扬州市
123,218.7.171.91,3128,黑龙江省绥化市
124,183.224.41.199,80,云南省昆明市
125,218.202.7.125,80,云南省昆明市
126,183.224.41.199,80,云南省昆明市
127,218.7.171.91,3128,黑龙江省绥化市
128,58.220.95.78,9401,江苏省扬州市
129,218.7.171.91,3128,黑龙江省绥化市
130,218.1.142.138,57114,上海市浦东新区
131,183.224.41.199,80,云南省昆明市
132,123.161.21.72,9797,河南省安阳市
133,218.7.171.91,3128,黑龙江省绥化市
134,120.42.46.226,6666,福建省厦门市
135,211.142.96.250,9091,河南省焦作市
136,58.220.95.114,10053,江苏省扬州市
137,58.220.95.79,10000,江苏省扬州市
138,218.7.171.91,3128,黑龙江省绥化市
139,202.200.170.237,80,陕西省西安市
140,202.200.170.237,80,陕西省西安市
141,223.96.90.216,8085,山东省
142,218.7.171.91,3128,黑龙江省绥化市
143,222.79.63.199,9999,福建省福州市
144,222.79.63.199,9999,福建省福州市
145,218.1.200.202,57114,上海市徐汇区
146,218.202.7.125,80,云南省昆明市
147,183.224.41.199,80,云南省昆明市
148,218.7.171.91,3128,黑龙江省绥化市
149,218.202.7.125,80,云南省昆明市
150,183.224.41.199,80,云南省昆明市
151,103.158.125.246,80,福建省厦门市
152,58.220.95.107,80,江苏省扬州市
153,101.230.4.168,80,上海市
154,183.224.41.199,80,云南省昆明市
155,218.7.171.91,3128,黑龙江省绥化市
156,211.142.96.250,9091,河南省焦作市
157,218.7.171.91,3128,黑龙江省绥化市
158,218.7.171.91,3128,黑龙江省绥化市
